name,x,y,plst,dem,at
USC00043256,-119.7092,36.7672,53.45,103,35.6
USC00043261,-119.7072,36.9969,45.21,125,35.6
USC00043384,-120.8008,38.9331,31.47,914.7,29.4
USC00043392,-118.4794,34.0869,33.21,340.5,22.8
USC00043417,-121.5608,37.0031,43.97,59.1,25
USC00043463,-118.7006,35.7269,44.11,957.1,30
USC00043551,-118.9631,36.7394,28.69,2011.7,22.8
USC00043573,-121.0681,39.2042,38.93,731.5,29.4
USC00043578,-122.8647,38.4306,31.71,61,22.8
USC00043669,-120.2258,37.8444,37.53,853.4,31.1
USC00043710,-117.9528,36.1389,44.59,1165.9,33.9
USC00043714,-122.4433,37.4725,30.77,8.2,16.7
USC00043747,-119.6369,36.3158,50.49,72.2,34.4
USC00043824,-121.5433,40.9317,44.61,919,33.3
USC00043855,-115.6289,33.7044,51.24,417.6,38.3
USC00043875,-122.8731,38.6175,37.43,32.9,27.2
USC00043882,-121.1683,35.6842,27.37,465.1,18.3
USC00043896,-116.8939,33.7381,49.51,552,32.2
USC00043914,-116.7614,33.2372,33.07,823,30
USC00043939,-119.7831,37.9614,38.03,1179.6,28.3
USC00044025,-121.4214,36.8483,36.71,83.8,20
USC00044211,-116.7067,33.7572,34.51,1639.8,28.3
USC00044223,-115.5667,32.8489,51.65,-19.5,41.1
USC00044232,-118.2036,36.7981,51.09,1204,37.2
USC00044259,-116.2153,33.7086,52.41,-6.4,40
USC00044297,-115.1219,34.1472,55.41,281,38.9
USC00044303,-117.7231,33.72,40.57,164.6,27.8
USC00044394,-116.5378,34.3592,51.15,965.3,33.3
USC00044405,-116.2747,34.1469,56.25,781.2,35
USC00044412,-116.5925,33.0764,39.91,1284.7,26.1
USC00044500,-122.5447,37.9567,32.95,44.2,23.3
USC00044534,-119.96,36.0067,54.05,73.2,36.7
USC00044555,-121.1378,36.2069,36.93,97.5,23.9
USC00044647,-117.7814,33.5453,35.58,13.4,21.1
USC00044712,-122.0039,38.4919,45.55,57,34.4
USC00044838,-121.5011,41.7019,37.17,1453.9,27.8
USC00044881,-119.1194,37.9567,43.39,2071.7,27.2
USC00044890,-119.0264,36.3817,47.73,156.4,35.6
USC00044957,-119.0545,36.2033,44.65,132.6,34.4
USC00044997,-121.7692,37.6922,45.41,146.3,29.4
USC00045026,-118.7325,36.6044,25.63,2052.8,23.9
USC00045064,-120.4514,34.6539,39.45,22.9,21.1
USC00045118,-120.8667,37.0564,49.03,36.6,31.7
USC00045123,-121.9592,37.2319,42.49,111.3,27.8
USC00045233,-120.0378,36.9539,49.93,82.3,32.8
USC00045280,-118.9617,37.6478,35.15,2378.7,21.7
USC00045311,-121.5767,40.5411,32.91,1752.6,26.1
USC00045360,-122.1242,38.4917,38.05,146.3,34.4
USC00045378,-122.1142,38.0131,40.95,12.2,26.7
USC00045502,-116.0767,33.5714,50.97,-54.9,40
USC00045532,-120.5158,37.2889,47.75,46.9,35
USC00045721,-115.5469,34.9436,42.4,1325.9,29.4
USC00045790,-118.1053,34.0192,46.05,75,28.3
USC00045795,-121.9103,36.5903,26.15,117.3,15.6
USC00045802,-121.8556,36.5928,26.93,37.2,17.2
USC00045853,-121.6025,37.1364,40.57,114.3,21.7
USC00045860,-116.5622,34.0864,50.37,958.6,31.7
USC00045866,-120.8447,35.3669,33.79,36,22.2
USC00045892,-115.5311,35.4592,47.14,1456,30
USC00045915,-121.9303,37.8792,38.21,661.4,25
USC00045933,-121.6425,37.3436,34.01,1282,24.4
USC00045968,-116.4194,32.8672,38.63,1804.4,27.8
USC00045983,-122.3172,41.3217,39.21,1102.5,31.1
USC00046006,-118.0711,34.2308,31.75,1740.4,25
USC00046074,-122.2647,38.2778,37.61,10.7,22.8
